index,PassengerId,Survived,Pclass,Sex,FamilySize,Age,SibSp,Parch,Fare,Embarked
1,2,1,1,0,1,38.0,1,0,71.2833,2
3,4,1,1,0,1,35.0,1,0,53.1,0
6,7,0,1,1,0,54.0,0,0,51.8625,0
10,11,1,3,0,2,4.0,1,1,16.7,0
11,12,1,1,0,0,58.0,0,0,26.55,0
21,22,1,2,1,0,34.0,0,0,13.0,0
23,24,1,1,1,0,28.0,0,0,35.5,0
27,28,0,1,1,5,19.0,3,2,263.0,0
52,53,1,1,0,1,49.0,1,0,76.7292,2
54,55,0,1,1,1,65.0,0,1,61.9792,2
62,63,0,1,1,1,45.0,1,0,83.475,0
66,67,1,2,0,0,29.0,0,0,10.5,0
75,76,0,3,1,0,25.0,0,0,7.65,0
88,89,1,1,0,5,23.0,3,2,263.0,0
92,93,0,1,1,1,46.0,1,0,61.175,0
96,97,0,1,1,0,71.0,0,0,34.6542,2
97,98,1,1,1,1,23.0,0,1,63.3583,2
102,103,0,1,1,1,21.0,0,1,77.2875,0
110,111,0,1,1,0,47.0,0,0,52.0,0
118,119,0,1,1,1,24.0,0,1,247.5208,2
123,124,1,2,0,0,32.5,0,0,13.0,0
124,125,0,1,1,1,54.0,0,1,77.2875,0
136,137,1,1,0,2,19.0,0,2,26.2833,0
137,138,0,1,1,1,37.0,1,0,53.1,0
139,140,0,1,1,0,24.0,0,0,79.2,2
148,149,0,2,1,2,36.5,0,2,26.0,0
151,152,1,1,0,1,22.0,1,0,66.6,0
170,171,0,1,1,0,61.0,0,0,33.5,0
174,175,0,1,1,0,56.0,0,0,30.6958,2
177,178,0,1,0,0,50.0,0,0,28.7125,2
183,184,1,2,1,3,1.0,2,1,39.0,0
193,194,1,2,1,2,3.0,1,1,26.0,0
194,195,1,1,0,0,44.0,0,0,27.7208,2
195,196,1,1,0,0,58.0,0,0,146.5208,2
205,206,0,3,0,1,2.0,0,1,10.4625,0
209,210,1,1,1,0,40.0,0,0,31.0,2
215,216,1,1,0,1,31.0,1,0,113.275,2
218,219,1,1,0,0,32.0,0,0,76.2917,2
224,225,1,1,1,1,38.0,1,0,90.0,0
230,231,1,1,0,1,35.0,1,0,83.475,0
245,246,0,1,1,2,44.0,2,0,90.0,1
248,249,1,1,1,2,37.0,1,1,52.5542,0
251,252,0,3,0,2,29.0,1,1,10.4625,0
252,253,0,1,1,0,62.0,0,0,26.55,0
257,258,1,1,0,0,30.0,0,0,86.5,0
262,263,0,1,1,2,52.0,1,1,79.65,0
263,264,0,1,1,0,40.0,0,0,0.0,0
268,269,1,1,0,1,58.0,0,1,153.4625,0
269,270,1,1,0,0,35.0,0,0,135.6333,0
273,274,0,1,1,1,37.0,0,1,29.7,2
275,276,1,1,0,1,63.0,1,0,77.9583,0
291,292,1,1,0,1,19.0,1,0,91.0792,2
292,293,0,2,1,0,36.0,0,0,12.875,2
297,298,0,1,0,3,2.0,1,2,151.55,0
299,300,1,1,0,1,50.0,0,1,247.5208,2
305,306,1,1,1,3,0.92,1,2,151.55,0
307,308,1,1,0,1,17.0,1,0,108.9,2
309,310,1,1,0,0,30.0,0,0,56.9292,2
310,311,1,1,0,0,24.0,0,0,83.1583,2
311,312,1,1,0,4,18.0,2,2,262.375,2
318,319,1,1,0,2,31.0,0,2,164.8667,0
319,320,1,1,0,2,40.0,1,1,134.5,2
325,326,1,1,0,0,36.0,0,0,135.6333,2
327,328,1,2,0,0,36.0,0,0,13.0,0
329,330,1,1,0,1,16.0,0,1,57.9792,2
331,332,0,1,1,0,45.5,0,0,28.5,0
332,333,0,1,1,1,38.0,0,1,153.4625,0
336,337,0,1,1,1,29.0,1,0,66.6,0
337,338,1,1,0,0,41.0,0,0,134.5,2
339,340,0,1,1,0,45.0,0,0,35.5,0
340,341,1,2,1,2,2.0,1,1,26.0,0
341,342,1,1,0,5,24.0,3,2,263.0,0
345,346,1,2,0,0,24.0,0,0,13.0,0
356,357,1,1,0,1,22.0,0,1,55.0,0
